ClienteID,Genero,Maior65,Colaborador,Dependentes,Fidelização,TipoServiço,LinhasMultiplas,ServiçoInternet,SegurançaOnline,CópiadeSegurançaOnline,ProteçãoTM,SuporteTécnico,ServiçoStreamingTV,ServiçoStreamingFilmes,TipodeContrato,FaturaEletronica,MétododePagamento,TarifaMensal,TotalTarifas,Ativo
5129-JLPIS,Masculino,0,Não,Não,25,Sim,Não,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrónico,105.5,2686.05,Não
3655-SNQYZ,Feminino,0,Sim,Sim,69,Sim,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Sim,Sim,BiAnual,Não,Cartão de Crédito (automatico),113.25,7895.15,Não
8191-XWSZG,Feminino,0,Não,Não,52,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Anual,Não,Cheque por email,20.65,1022.95,Não
9959-WOFKT,Masculino,0,Não,Sim,71,Sim,Sim,Fibra ótica,Sim,Não,Sim,Não,Sim,Sim,BiAnual,Não,Transferência Bancária (automatico),106.7,7382.25,Não
4190-MFLUW,Feminino,0,Sim,Sim,10,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cartão de Crédito (automatico),55.2,528.35,Sim
4183-MYFRB,Feminino,0,Não,Não,21,Sim,Não,Fibra ótica,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Cheque Eletrónico,90.05,1862.9,Não
8779-QRDMV,Masculino,1,Não,Não,1,Não,Sem serviço telefónico,DSL,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque Eletrónico,39.65,39.65,Sim
1680-VDCWW,Masculino,0,Sim,Não,12,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Anual,Não,Transferência Bancária (automatico),19.8,202.25,Não
1066-JKSGK,Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,20.15,20.15,Sim
3638-WEABW,Feminino,0,Sim,Não,58,Sim,Sim,DSL,Não,Sim,Não,Sim,Não,Não,BiAnual,Sim,Cartão de Crédito (automatico),59.9,3505.1,Não
6322-HRPFA,Masculino,0,Sim,Sim,49,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Cartão de Crédito (automatico),59.6,2970.3,Não
6865-JZNKO,Feminino,0,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Transferência Bancária (automatico),55.3,1530.6,Não
6467-CHFZW,Masculino,0,Sim,Sim,47,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,99.35,4749.15,Sim
8665-UTDHZ,Masculino,0,Sim,Sim,1,Não,Sem serviço telefónico,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cheque Eletrónico,30.2,30.2,Sim
5248-YGIJN,Masculino,0,Sim,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,BiAnual,Sim,Cartão de Crédito (automatico),90.25,6369.45,Não
8773-HHUOZ,Feminino,0,Não,Sim,17,Sim,Não,DSL,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque por email,64.7,1093.1,Sim
3841-NFECX,Feminino,1,Sim,Não,71,Sim,Sim,Fibra ótica,Sim,Sim,Sim,Sim,Não,Não,BiAnual,Sim,Cartão de Crédito (automatico),96.35,6766.95,Não
4929-XIHVW,Masculino,1,Sim,Não,2,Sim,Não,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (automatico),95.5,181.65,Não
6827-IEAUQ,Feminino,0,Sim,Sim,27,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Anual,Não,Cheque por email,66.15,1874.45,Não
7310-EGVHZ,Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Transferência Bancária (automatico),20.2,20.2,Não
3413-BMNZE,Masculino,1,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Transferência Bancária (automatico),45.25,45.25,Não
6234-RAAPL,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra ótica,Sim,Sim,Não,Sim,Sim,Não,BiAnual,Não,Transferência Bancária (automatico),99.9,7251.7,Não
6047-YHPVI,Masculino,0,Não,Não,5,Sim,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,69.7,316.9,Sim
6572-ADKRS,Feminino,0,Não,Não,46,Sim,Não,Fibra ótica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cartão de Crédito (automatico),74.8,3548.3,Não
5380-WJKOV,Masculino,0,Não,Não,34,Sim,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,106.35,3549.25,Sim
8168-UQWWF,Feminino,0,Não,Não,11,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Transferência Bancária (automatico),97.85,1105.4,Sim
8865-TNMNX,Masculino,0,Sim,Sim,10,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cheque por email,49.55,475.7,Não
9489-DEDVP,Feminino,0,Sim,Sim,70,Sim,Sim,DSL,Sim,Sim,Não,Não,Sim,Não,BiAnual,Sim,Cartão de Crédito (automatico),69.2,4872.35,Não
9867-JCZSP,Feminino,0,Sim,Sim,17,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Anual,Não,Cheque por email,20.75,418.25,Não
4671-VJLCL,Feminino,0,Não,Não,63,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,BiAnual,Sim,Cartão de Crédito (automatico),79.85,4861.45,Não
4080-IIARD,Feminino,0,Sim,Não,13,Sim,Sim,DSL,Sim,Sim,Não,Sim,Sim,Não,Mensal,Sim,Cheque Eletrónico,76.2,981.45,Não
3714-NTNFO,Feminino,0,Não,Não,49,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Eletrónico,84.5,3906.7,Não
5948-UJZLF,Masculino,0,Não,Não,2,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cheque por email,49.25,97,Não
7760-OYPDY,Feminino,0,Não,Não,2,Sim,Não,Fibra ótica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrónico,80.65,144.15,Sim
7639-LIAYI,Masculino,0,Não,Não,52,Sim,Sim,DSL,Sim,Não,Não,Sim,Sim,Sim,BiAnual,Sim,Cartão de Crédito (automatico),79.75,4217.8,Não
2954-PIBKO,Feminino,0,Sim,Sim,69,Sim,Sim,DSL,Sim,Não,Sim,Sim,Não,Não,BiAnual,Sim,Cartão de Crédito (automatico),64.15,4254.1,Não
8012-SOUDQ,Feminino,1,Não,Não,43,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrónico,90.25,3838.75,Não
9420-LOJKX,Feminino,0,Não,Não,15,Sim,Não,Fibra ótica,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (automatico),99.1,1426.4,Sim
6575-SUVOI,Feminino,1,Sim,Não,25,Sim,Sim,DSL,Sim,Não,Não,Sim,Sim,Não,Mensal,Sim,Cartão de Crédito (automatico),69.5,1752.65,Não
7495-OOKFY,Feminino,1,Sim,Não,8,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cartão de Crédito (automatico),80.65,633.3,Sim
4667-QONEA,Feminino,1,Sim,Sim,60,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Anual,Sim,Cartão de Crédito (automatico),74.85,4456.35,Não
1658-BYGOY,Masculino,1,Não,Não,18,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,95.45,1752.55,Sim
8769-KKTPH,Feminino,0,Sim,Sim,63,Sim,Sim,Fibra ótica,Sim,Não,Não,Não,Sim,Sim,Anual,Sim,Cartão de Crédito (automatico),99.65,6311.2,Não
5067-XJQFU,Masculino,1,Sim,Sim,66,Sim,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque Eletrónico,108.45,7076.35,Não
3957-SQXML,Feminino,0,Sim,Sim,34,Sim,Sim,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Cartão de Crédito (automatico),24.95,894.3,Não
5954-BDFSG,Feminino,0,Não,Não,72,Sim,Sim,Fibra ótica,Não,Não,Sim,Sim,Sim,Sim,BiAnual,Sim,Cartão de Crédito (automatico),107.5,7853.7,Não
0434-CSFON,Feminino,0,Sim,Não,47,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,100.5,4707.1,Não
1215-FIGMP,Masculino,0,Não,Não,60,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência Bancária (automatico),89.9,5450.7,Não
0526-SXDJP,Masculino,0,Sim,Não,72,Não,Sem serviço telefónico,DSL,Sim,Sim,Sim,Não,Não,Não,BiAnual,Não,Transferência Bancária (automatico),42.1,2962,Não
0557-ASKVU,Feminino,0,Sim,Sim,18,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Anual,Sim,Cartão de Crédito (automatico),54.4,957.1,Não
5698-BQJOH,Feminino,0,Não,Não,9,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque Eletrónico,94.4,857.25,Sim
5122-CYFXA,Feminino,0,Não,Não,3,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Cheque Eletrónico,75.3,244.1,Não
8627-ZYGSZ,Masculino,0,Sim,Não,47,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Não,Não,Anual,Sim,Cheque Eletrónico,78.9,3650.35,Não
3410-YOQBQ,Feminino,0,Não,Não,31,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,BiAnual,Não,Cheque por email,79.2,2497.2,Não
3170-NMYVV,Feminino,0,Sim,Sim,50,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Transferência Bancária (automatico),20.15,930.9,Não
7410-OIEDU,Masculino,0,Não,Não,10,Sim,Não,Fibra ótica,Sim,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque por email,79.85,887.35,Não
2273-QCKXA,Masculino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Não,Cheque por email,49.05,49.05,Não
0731-EBJQB,Feminino,0,Sim,Sim,52,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Anual,Sim,Cheque Eletrónico,20.4,1090.65,Não
1891-QRQSA,Masculino,1,Sim,Sim,64,Sim,Sim,Fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,BiAnual,Sim,Transferência Bancária (automatico),111.6,7099,Não
8028-PNXHQ,Masculino,0,Sim,Sim,62,Sim,Sim,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Transferência Bancária (automatico),24.25,1424.6,Não
5630-AHZIL,Feminino,0,Não,Sim,3,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Sim,Transferência Bancária (automatico),64.5,177.4,Não
2673-CXQEU,Feminino,1,Não,Não,56,Sim,Sim,Fibra ótica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Não,Cheque Eletrónico,110.5,6139.5,Não
6416-JNVRK,Feminino,0,Não,Não,46,Sim,Não,DSL,Não,Não,Não,Não,Não,Sim,Anual,Não,Cartão de Crédito (automatico),55.65,2688.85,Não
5590-ZSKRV,Feminino,0,Sim,Sim,8,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Não,Cheque por email,54.65,482.25,Não
0191-ZHSKZ,Masculino,1,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,74.75,2111.3,Não
3887-PBQAO,Feminino,0,Sim,Sim,45,Sim,Sim,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Anual,Sim,Cartão de Crédito (automatico),25.9,1216.6,Não
5919-TMRGD,Feminino,0,Não,Sim,1,Sim,Não,Fibra ótica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrónico,79.35,79.35,Sim
8108-UXRQN,Feminino,0,Sim,Sim,11,Não,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque Eletrónico,50.55,565.35,Não
9191-MYQKX,Feminino,0,Sim,Não,7,Sim,Não,Fibra ótica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Transferência Bancária (automatico),75.15,496.9,Sim
9919-YLNNG,Feminino,0,Não,Não,42,Sim,Não,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência Bancária (automatico),103.8,4327.5,Não
0318-ZOPWS,Feminino,0,Sim,Não,49,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Transferência Bancária (automatico),20.15,973.35,Não
4445-ZJNMU,Masculino,0,Não,Não,9,Sim,Sim,Fibra ótica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (automatico),99.3,918.75,Não
4808-YNLEU,Feminino,0,Sim,Não,35,Sim,Não,DSL,Sim,Não,Não,Não,Sim,Não,Anual,Sim,Transferência Bancária (automatico),62.15,2215.45,Não
1862-QRWPE,Feminino,0,Sim,Sim,48,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Transferência Bancária (automatico),20.65,1057,Não
2796-NNUFI,Feminino,0,Sim,Sim,46,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Cheque por email,19.95,927.1,Não
3016-KSVCP,Masculino,0,Sim,Não,29,Não,Sem serviço telefónico,DSL,Não,Não,Não,Não,Sim,Não,Mensal,Não,Cheque por email,33.75,1009.25,Não
4767-HZZHQ,Masculino,0,Sim,Sim,30,Sim,Não,Fibra ótica,Não,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência Bancária (automatico),82.05,2570.2,Não
2424-WVHPL,Masculino,1,Não,Não,1,Sim,Não,Fibra ótica,Não,Não,Não,Sim,Não,Não,Mensal,Não,Cheque Eletrónico,74.7,74.7,Não
7233-PAHHL,Masculino,0,Sim,Sim,66,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,BiAnual,Sim,Cheque por email,84,5714.25,Não
6067-NGCEU,Feminino,0,Não,Não,65,Sim,Sim,Fibra ótica,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (automatico),111.05,7107,Não
9848-JQJTX,Masculino,0,Não,Não,72,Sim,Sim,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,BiAnual,Sim,Transferência Bancária (automatico),100.9,7459.05,Não
8637-XJIVR,Feminino,0,Não,Não,12,Sim,Sim,Fibra ótica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,78.95,927.35,Sim
9803-FTJCG,Masculino,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,Cartão de Crédito (automatico),66.85,4748.7,Não
0278-YXOOG,Masculino,0,Não,Não,5,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,21.05,113.85,Sim
3212-KXOCR,Masculino,0,Não,Não,52,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Transferência Bancária (automatico),21,1107.2,Não
4598-XLKNJ,Feminino,1,Sim,Não,25,Sim,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,98.5,2514.5,Sim
6380-ARCEH,Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,20.2,20.2,Não
3679-XASPY,Feminino,0,Sim,Sim,1,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque Eletrónico,19.45,19.45,Não
7123-WQUHX,Masculino,0,Não,Não,38,Sim,Sim,Fibra ótica,Não,Não,Sim,Sim,Sim,Não,Anual,Não,Transferência Bancária (automatico),95,3605.6,Não
5386-THSLQ,Feminino,1,Sim,Não,66,Não,Sem serviço telefónico,DSL,Não,Sim,Sim,Não,Sim,Não,Anual,Não,Transferência Bancária (automatico),45.55,3027.25,Não
3192-NQECA,Masculino,0,Sim,Não,68,Sim,Sim,Fibra ótica,Não,Sim,Sim,Sim,Sim,Sim,BiAnual,Sim,Transferência Bancária (automatico),110,7611.85,Sim
6180-YBIQI,Masculino,0,Não,Não,5,Não,Sem serviço telefónico,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque por email,24.3,100.2,Não
6728-DKUCO,Feminino,0,Sim,Sim,72,Sim,Sim,Fibra ótica,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Cheque Eletrónico,104.15,7303.05,Não
9750-BOOHV,Feminino,0,Não,Não,32,Não,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Não,Não,Anual,Não,Cheque por email,30.15,927.65,Não
8597-CWYHH,Masculino,0,Não,Não,43,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cheque por email,94.35,3921.3,Não
2848-YXSMW,Masculino,0,Sim,Sim,72,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Cartão de Crédito (automatico),19.4,1363.25,Não
0486-HECZI,Masculino,0,Sim,Não,55,Sim,Sim,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque Eletrónico,96.75,5238.9,Sim
4549-ZDQYY,Feminino,0,Não,Não,52,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Anual,Não,Cartão de Crédito (automatico),57.95,3042.25,Não
5712-AHQNN,Feminino,0,Não,Não,43,Sim,Não,Fibra ótica,Não,Sim,Sim,Não,Sim,Não,Mensal,Sim,Cheque Eletrónico,91.65,3954.1,Não
4846-WHAFZ,Feminino,1,Sim,Não,37,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,76.5,2868.15,Sim
5256-SKJGO,Feminino,0,Sim,Sim,64,Não,Sem serviço telefónico,DSL,Não,Sim,Não,Sim,Sim,Sim,BiAnual,Sim,Cheque Eletrónico,54.6,3423.5,Não
3071-VBYPO,Masculino,0,Sim,Sim,3,Sim,Não,Fibra ótica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque Eletrónico,89.85,248.4,Não
9560-BBZXK,Feminino,0,Não,Não,36,Não,Sem serviço telefónico,DSL,Sim,Não,Não,Não,Não,Não,BiAnual,Não,Transferência Bancária (automatico),31.05,1126.35,Não
5299-RULOA,Feminino,0,Sim,Sim,10,Sim,Sim,Fibra ótica,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque Eletrónico,100.25,1064.65,Sim
8402-OOOHJ,Feminino,0,Não,Não,41,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Cheque por email,20.65,835.15,Não
9445-ZUEQE,Masculino,0,Sim,Sim,27,Sim,Sim,Fibra ótica,Não,Sim,Não,Sim,Não,Não,Mensal,Sim,Cartão de Crédito (automatico),85.2,2151.6,Não
1091-SOZGA,Feminino,0,Sim,Sim,56,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,Cartão de Crédito (automatico),99.8,5515.45,Não
2928-HLDBA,Feminino,0,Não,Não,6,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,20.7,112.75,Não
0404-SWRVG,Masculino,0,Não,Não,3,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,74.4,229.55,Sim
6497-TILVL,Feminino,0,Sim,Sim,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque por email,50.7,350.35,Não
7219-TLZHO,Feminino,0,Sim,Sim,4,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,20.85,62.9,Não
4622-YNKIJ,Masculino,0,Não,Não,33,Sim,Não,Fibra ótica,Sim,Não,Não,Sim,Sim,Não,BiAnual,Sim,Cheque Eletrónico,88.95,3027.65,Não
4412-YLTKF,Feminino,1,Não,Não,27,Sim,Sim,Fibra ótica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque Eletrónico,78.05,2135.5,Sim
6734-PSBAW,Masculino,0,Sim,Não,72,Sim,Sim,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Transferência Bancária (automatico),23.55,1723.95,Não
3930-ZGWVE,Masculino,0,Não,Não,1,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Mensal,Não,Cheque por email,19.75,19.75,Não
2639-UGMAZ,Masculino,1,Não,Não,71,Não,Sem serviço telefónico,DSL,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Cheque Eletrónico,56.45,3985.35,Não
2876-GZYZC,Feminino,0,Não,Não,13,Sim,Sim,Fibra ótica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Eletrónico,85.95,1215.65,Não
6207-WIOLX,Feminino,0,Sim,Sim,25,Não,Sem serviço telefónico,DSL,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de Crédito (automatico),58.6,1502.65,Sim
8587-XYZSF,Masculino,0,Não,Não,67,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,BiAnual,Não,Transferência Bancária (automatico),50.55,3260.1,Não
3091-FYHKI,Masculino,0,Não,Não,1,Não,Sem serviço telefónico,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque Eletrónico,35.45,35.45,Sim
2372-HWUHI,Masculino,0,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque Eletrónico,44.35,81.25,Sim
7799-LGRDP,Feminino,0,Não,Não,43,Sim,Sim,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Cartão de Crédito (automatico),25.7,1188.2,Não
7850-VWJUU,Feminino,0,Não,Não,23,Sim,Não,Fibra ótica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Transferência Bancária (automatico),75,1778.5,Não
3774-VBNXY,Feminino,0,Sim,Sim,64,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Não,Cheque por email,20.2,1277.75,Não
6217-KDYWC,Masculino,0,Não,Sim,57,Sim,Não,Não,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,Sem serviço internet,BiAnual,Sim,Cheque por email,19.6,1170.55,Não
0390-DCFDQ,Feminino,1,Sim,Não,1,Sim,Não,Fibra ótica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque por email,70.45,70.45,Sim
